Product Name,Username,Review_Title,Review,Rating
['Flipkart SmartBuy 1000 W Dry Iron'],Sagar  Mistari,Worth every penny,"Thanks Flipkart, Good Product Good Quality ,  I am Happy With this Product & Satisfied",5
['Flipkart SmartBuy 1000 W Dry Iron'],Ankit kumar Pathak,Simply awesome,this is very good product I like it very is too very nice it's quality is super,5
['Flipkart SmartBuy 1000 W Dry Iron'],Vajinepalli Shankar,Awesome,super product of very nice flipkart product keep it up safe packing super duper,5
['Flipkart SmartBuy 1000 W Dry Iron'],Dr.Shreekanth Reddy,Decent product,With Phonepe Cashback got this product for Rs.365/-This Iron is 'Paisa vasool' at this Price.Good for Everyday use and Best for Travellers.,3
['Flipkart SmartBuy 1000 W Dry Iron'],Mangesh Bawane,Worth the money,nice product in This range....,4
['Flipkart SmartBuy 1000 W Dry Iron'],Priyanka Patra,Nice product,very nice,4
['Flipkart SmartBuy 1000 W Dry Iron'],Vikas Choudhary,Very Good,I am happy.iron is very good.,4
['Flipkart SmartBuy 1000 W Dry Iron'],Saira Bano,Great product,very good iron and look also good in econony price.,5
['Flipkart SmartBuy 1000 W Dry Iron'],Sahana Das,Simply awesome,"It's a good product at cheaper rate, loved it. It has a indicator when the iron gets hot. Light weight.",5
['Flipkart SmartBuy 1000 W Dry Iron'],Shekhar Kumar,Awesome,Value for money thanku flipkarr 👍👍,5
['Flipkart SmartBuy 1000 W Dry Iron'],Priyatam Karn,Super!,"Nice product, good quality. Handy easy to work upon.",5
['Flipkart SmartBuy 1000 W Dry Iron'],Flipkart Customer,Fabulous!,good product on Flipkart I love his quality the iron heating fast and light weighted and colour is amazing I love this colour happy shopping on Flipkart thank you so much Flipkart😊,5
['Flipkart SmartBuy 1000 W Dry Iron'],Ramar  Radan,Fabulous!,This product is awesome I bought today 325 +44,5
['Flipkart SmartBuy 1000 W Dry Iron'],Afshan Noor,Fabulous!,Very nice 🤗,5
['Flipkart SmartBuy 1000 W Dry Iron'],Lokesh Khobragade,Wonderful,Excellent product with Fastest delivery.Thank you.,5
['Flipkart SmartBuy 1000 W Dry Iron'],Dr. Thakur Sen,Mind-blowing purchase,Submitting review after using it for 5 months. Its a good daily use product. For this price no other product can be better. I recommend this for small family. Try to purchase this product during big billion days you could get better deal around three hundred.,5
['Flipkart SmartBuy 1000 W Dry Iron'],SARVESH PEDNEKAR,Worth every penny,I purchase this dry iron for 399/_ at the time of big billion days sale. Iron looking so good light weight and comfortable for ironing clothes. Fast delivery thanks Flipkart team.,5
['Flipkart SmartBuy 1000 W Dry Iron'],Sukhveer  Singh,Fabulous!,best product and trust full  i m very happy to purchase this like same as given on ads,5
['Flipkart SmartBuy 1000 W Dry Iron'],Jwala Yadav,Perfect product!,That's a great product and I love Flipkart and that's a India product (we special thanks to Flipkart for India)That product in that price and that a great quality u will not get any ware I am challenge ulet Bay that productThanks...................... Flipkart................And ................There................ Team.............(I N D I A),5
['Flipkart SmartBuy 1000 W Dry Iron'],Flipkart Customer,Fabulous!,"nice product, light weight, i bought this @ Rs 315 /- only and I don't think so this product anyone can give you at this price. deserve 5 star 😊",5
['Flipkart SmartBuy 1000 W Dry Iron'],Shashi bhushan Kuma r,Good quality product,iron is  so looking stylish and work properly good,4
['Flipkart SmartBuy 1000 W Dry Iron'],Arpita  Mahajan,Very Good,i wasn't sure about this product. i was thinking that shall i buy it or not? is it going to be good or bad?  but then i just decided and bought it. And trust me guys it's a perfect product in this price ❤,4
['Flipkart SmartBuy 1000 W Dry Iron'],Nabajyoti  Roy,Nice product,I like this iron. Very light weight and easy to handle. Wire length is also good. Very good product from flipkarts own brand at a very good price. I got it at Rs 325/- only.... awesome deal.,4
['Flipkart SmartBuy 1000 W Dry Iron'],Nikhil Kumar,Nice product,It's really a cool one .. Flipkart brand products I really good ..it is cheaper nd best so better if u have less money nd you u want good things so go with Flipkart products,4
['Flipkart SmartBuy 1000 W Dry Iron'],Nishant Kumar,Very Good,Overall nice product at this price... Very compact and easy to use.Can be good specially for students living outside for studies and also working bachlors. It can also be used in family. I have been using it for six months now and have not seen any problems.Thank you,4
['Flipkart SmartBuy 1000 W Dry Iron'],Flipkart Customer,Very Good,awesome i like it so much very nice and easy to use temperature controller is very nice and simple to apply,4
['Flipkart SmartBuy 1000 W Dry Iron'],amutha  ammu,Delightful,super quality wise nice it will be used for middle class people prize also reasonable.....,4
['Flipkart SmartBuy 1000 W Dry Iron'],sanju achay,Wonderful,Best buy I got this @ 299/- Only ..... On Festival. Offers ... nice product @ Right Price...,4
['Flipkart SmartBuy 1000 W Dry Iron'],Akhilesh  Pandey,Worth the money,"nice product, light weighted, option of auto cut is available which makes it efficient. After using for 3 days, I find it useful & good, will review after further use.",4
['Flipkart SmartBuy 1000 W Dry Iron'],Hari Haran.R,Good choice,good and nice product I'm happy then my family members always very happy this item use... quick delivery in flipkart.... that's to all team person and flipkart...,4
['Flipkart SmartBuy 1000 W Dry Iron'],Sabbir Faruque,Value-for-money,nice product.. it looks good . thank you flipcart for your on time delivery.. there is some over heating issue in this iron so that I have given 4 out of 5.. but I this price segment this product is really very good.,4
['Flipkart SmartBuy 1000 W Dry Iron'],Sadhna Biswas,Value-for-money,"good product. Worth the money, I got it with 325 and no wonder it has has been more than a month now works still the same. thanks flipkart!",4
['Flipkart SmartBuy 1000 W Dry Iron'],lalit yadav,Really Nice,So nice the Flipkart smart iron it's so good for use and also convenient,4
['Flipkart SmartBuy 1000 W Dry Iron'],BHUVNESHWAR YADAV,Delightful,"Slim, Slick & Very Light in weight.looking good 👍Super fast heating and the adjustable switch is very Good.",4
['Flipkart SmartBuy 1000 W Dry Iron'],krunal prajapati,Wonderful,Nice product. Worth to buy. Not happy with frequently price fluctuation by Flipkart. Else product is really amazing,4
['Flipkart SmartBuy 1000 W Dry Iron'],Ankita Raut,Great product by Flipkart,I never buy iron for 325 😲. it's light weight and easy to use. Really happy with the product at great price. Thnq flipkart for quick delivery and great packaging..,4
['Flipkart SmartBuy 1000 W Dry Iron'],Krunal Shah,Very Good,Good quality in this price. we can't compare its body and heat with other brands like Bajaj or Philips. overall good for middle class families.,4
['Flipkart SmartBuy 1000 W Dry Iron'],Bhushan kumar Jha,Wonderful,very good iron easy to use bought it ₹299 durring festive sale its very good suggest for everyone,4
['Flipkart SmartBuy 1000 W Dry Iron'],Amit Bhattacharya,Really Nice,It's just awesome. one month ago I brought this product. it's lightweight and works very smooth thank you Flipkart for this product. I love this product...,4
['Flipkart SmartBuy 1000 W Dry Iron'],danthala sridhar,Super,Super product good working faction heating and cut off led light indicated cast all so low to comparing another brand I like it,4
['Flipkart SmartBuy 1000 W Dry Iron'],Flipkart Customer,Good quality product,the product is very nice and gives good service. But it heats quite fast so be careful on delicate clothes.,4
['Flipkart SmartBuy 1000 W Dry Iron'],Priya Singh,Pretty good,Nice light in weight and the cord is very well protected at the edge but warranty card is not available in the box and there is no box for the iron only the packing is there,4
['Flipkart SmartBuy 1000 W Dry Iron'],Flipkart Customer,Very Good,"Good ,box was a heating only 10 to 15 seconds and very good flipkart product , but the iron box so sensitive product i think , but tha price Was a small price beast praise and good product , i like this product thank flipkart",4
['Flipkart SmartBuy 1000 W Dry Iron'],Deepak Salunke,Brilliant,This iron 1000 wt is very nice and press of clothing is good and structure of this iron is looking very gorgeous 🥰,5
['Flipkart SmartBuy 1000 W Dry Iron'],Susovan  Ghara,Classy product,Good product,5
['Flipkart SmartBuy 1000 W Dry Iron'],Sandeep  Yadav,Highly recommended,it's good Quality,5
['Flipkart SmartBuy 1000 W Dry Iron'],shiju shiju,Worth every penny,"awesome ,super",5
